Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
90,James Duckworth,24,37.5,65.3,63.7,9.4,3.0,7.4,60.0,73.7,52.6,56.8,83.7,30.6,33.6,15.8,3.5,20.6,46.7,10.8,32.0,100,0.34,1.7,4.2,0.53,1.3,67.3,0.5,2.5,6.3,0.82,2.0,48.5,60.0,41.7,47.5
91,Cameron Norrie,39,53.8,65.1,64.6,6.3,2.7,7.6,64.3,72.6,51.6,55.8,82.1,36.1,38.2,10.2,3.0,28.9,49.6,22.0,39.8,284,0.55,2.7,7.3,1.09,2.9,64.5,0.5,2.5,6.7,0.89,2.4,50.7,29.6,51.0,52.2
92,Vit Kopriva,7,0.0,54.0,54.6,5.3,5.5,13.7,59.9,65.3,37.2,43.1,58.8,32.4,33.9,9.6,2.8,23.4,49.7,18.9,54.8,31,0.34,1.6,4.4,0.89,2.4,47.8,0.79,3.5,9.6,1.84,5.0,43.8,0.0,15.8,38.3
93,Jesper De Jong,7,28.6,60.6,59.9,7.2,3.7,8.6,57.2,69.5,48.6,53.2,72.1,32.9,33.2,9.0,4.0,26.0,43.8,18.4,61.3,31,0.3,1.4,4.4,0.86,2.7,56.1,0.63,3.0,9.4,1.32,4.1,47.6,0.0,31.8,45.4
94,Reilly Opelka,15,46.7,69.3,63.9,22.5,4.2,11.4,62.7,80.0,51.3,57.9,86.8,28.2,27.6,7.4,3.7,21.0,41.6,9.6,29.2,65,0.33,1.6,4.3,0.48,1.3,67.9,0.41,2.1,5.6,0.68,1.8,49.2,36.4,42.5,49.0
95,Luca Nardi,16,25.0,57.3,59.1,3.4,5.5,14.6,62.2,66.2,42.6,49.9,68.1,34.6,34.1,5.8,3.8,24.5,51.4,17.3,37.9,87,0.46,2.2,5.4,0.83,2.1,55.8,0.72,3.5,8.6,1.53,3.8,46.2,20.0,27.5,42.7
96,Mackenzie Mcdonald,18,27.8,59.7,60.1,4.8,3.8,11.0,65.2,65.7,48.5,54.5,70.3,38.2,38.6,8.6,4.7,29.4,51.5,24.4,43.4,136,0.56,2.7,7.6,1.16,3.3,48.1,0.57,2.6,7.5,1.37,3.9,48.7,16.7,37.3,47.1
97,Alexander Shevchenko,49,42.9,60.6,59.8,6.8,3.2,8.1,60.0,68.4,48.8,53.1,73.6,36.4,37.1,6.7,2.8,28.3,50.3,19.7,40.7,295,0.49,2.3,6.0,0.93,2.4,56.8,0.61,2.9,7.5,1.23,3.2,48.7,68.2,43.4,46.5
98,Pablo Carreno Busta,16,50.0,61.2,61.6,4.8,3.6,9.9,63.3,67.9,49.7,55.1,73.4,37.8,40.2,9.3,2.4,29.9,49.0,27.2,47.6,105,0.57,2.6,6.6,1.25,3.1,55.0,0.59,2.7,6.8,1.23,3.1,49.9,25.0,47.5,50.3
99,Mariano Navone,42,42.9,57.9,58.2,3.2,2.9,8.5,66.2,62.8,48.2,52.7,67.9,40.3,39.9,3.8,3.2,34.8,50.3,28.6,43.5,324,0.66,3.1,7.7,1.34,3.4,56.5,0.74,3.4,8.5,1.49,3.7,49.1,40.0,43.8,48.1
100,Nishesh Basavareddy,3,33.3,63.3,62.4,8.8,4.0,10.8,63.3,73.4,45.8,51.4,80.0,35.2,36.6,11.3,4.3,22.8,53.2,25.0,47.4,19,0.53,1.6,6.3,0.75,3.0,74.1,0.77,2.3,9.0,0.58,2.3,49.1,20.0,41.7,52.1
